Test Area,tariffCategory,genTariffCategory,broughtForwards,registerValues,meterStatus,previousReadings,currentReadings,prevDates,currDates,Expected_StatusCode,error_message,Period,Total_Units,Consumption,Fixed_Charges,Brought_Forwards,carryForwards,Total_Tax,Total_Amount,slabName,slabUnits,slabRates,slabAmounts,GenerationUnits,GenerationRate,GenTotalPrice,expectedJson,TestType
Previous Export reading higher than current Reading,H_2-NA,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",200,Invalid readings,30.0,0.0|1500.0|200.0|2000.0,0.0|42000.0|2400.0|2800000.0,5000.0,,,73061.54,2922461.54,,,,,3800.0,34.5,131100.0,,FIELD_VALIDATION
Previous and current reading blank,H_2-NA,SE5.6@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,""" "","" "","" "",0."" "","" "","" "","" """,""" "","" "","" "",2000,"" "","" "","" "","" ""","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",422,type_error.none.not_allowed,,,,,,,,,,,,,,,,,FIELD_VALIDATION
"Units more than 999,999",H_2-NA,SE3.4@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1,1,1,0,10,10,10,0","1000001,1000001,1000001,2000,1000010,1000010,1000010,1000001","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",200,Should fail but not,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without Import register Value,H_2-NA,SE4.1@1,,"9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"0,100,200,300,0","2000,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",500,Internal Server Error,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without Export register Value,H_2-NA,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0",Active,"1000,2000,200,0","2000,3500,400,2000","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",400,Check meter reading data,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without all registers,H_2-NA,SE5.6@1,,,Active,,,"2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",500,Internal Server Error,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without Max Demand Value,H_2-NA,SE3.4@1,,"1.8.1_0,1.8.2_0,1.8.3_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",400,Check meter reading data,,,,,,,,,,,,,,,,,FIELD_VALIDATION
"Max Demand Maximum (999,999)",H_2-NA,SE4.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,999999,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",200,,30.0,0.0|1500.0|200.0|999999.0,0.0|42000.0|2400.0|1399998600.0,5000.0,,,35898666.67,1435946666.67,,,,,3800.0,27.06,102828.0,,FIELD_VALIDATION
Max Demand over 1000000,H_2-NA,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,1000000,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",200,,30.0,0.0|1500.0|200.0|1000000.0,0.0|42000.0|2400.0|1400000000.0,5000.0,,,35898702.56,1435948102.56,,,,,3800.0,34.5,131100.0,,FIELD_VALIDATION
Max Demand 0,H_2-NA,SE5.6@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,0,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",200,,30.0,0.0|1500.0|200.0|0.0,0.0|42000.0|2400.0|0.0,5000.0,,,1266.67,50666.67,,,,,3800.0,14.46,54948.0,,FIELD_VALIDATION
Meter Status - Inactive,H_2-NA,SE3.4@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Inactive,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",500,Internal Server Error,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without previous date,H_2-NA,SE4.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800",,"2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without current date,H_2-NA,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01",,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Current date future date,H_2-NA,SE5.6@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-03-01,2026-03-01,2026-03-01,2026-03-01,2026-03-01,2026-03-01,2026-03-01,2026-03-01","2026-03-31,2026-03-31,2026-03-31,2026-03-31,2026-03-31,2026-03-31,2026-03-31,2026-03-31",200,,30.0,0.0|1500.0|200.0|2000.0,0.0|42000.0|2400.0|2800000.0,5000.0,,,73061.54,2922461.54,,,,,3800.0,14.46,54948.0,,FIELD_VALIDATION
Without both dates,H_2-NA,SE3.4@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800",,,400,,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous date larger than current date,H_2-NA,SE4.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-02-21,2026-02-21,2026-02-21,2026-02-21,2026-02-21,2026-02-21,2026-02-21,2026-02-21","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",400,Invalid dates,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Invalid date format,H_2-NA,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-31-01,2026-31-01,2026-31-01,2026-31-01,2026-31-01,2026-31-01,2026-31-01,2026-31-01","2026-02-28,2026-02-28,2026-02-28,2026-02-28,2026-02-28,2026-02-28,2026-02-28,2026-02-28",400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
With Brought Forward,H_2-NA,SE3.4@1,2000,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",200,,30.0,0.0|1500.0|200.0|2000.0,0.0|42000.0|2400.0|2800000.0,5000.0,,,73061.54,2922461.54,,,,,3800.0,37,140600.0,,FIELD_VALIDATION
"Max units (999,999)",H_2-NA,SE4.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1,1,1,0,1,1,1,0","1000005,1000005,1000005,2000,1000005,1000005,1000005,10000050","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",200,,30.0,0.0|1000004.0|1000004.0|2000.0,0.0|28000112.0|12000048.0|2800000.0,5000.0,,,1097568.21,43902728.21,,,,,9000046.0,27.06,243541244.76,,FIELD_VALIDATION
Export higher than Import,H_2-NA,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,50000,75000,30000,154400","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",200,,30.0,0.0|1500.0|200.0|2000.0,0.0|42000.0|2400.0|2800000.0,5000.0,,,73061.54,2922461.54,,,,,153400.0,34.5,5292300.0,,FIELD_VALIDATION
Import higher than Export,H_2-NA,SE5.6@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"100,200,20,0,100,200,300,0","20000,35000,4000,2000,500,750,400,1050","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",200,,30.0,18850.0|34800.0|3980.0|2000.0,282750.0|974400.0|47760.0|2800000.0,5000.0,,,105382.31,4215292.31,,,,,,14.46,,,FIELD_VALIDATION
Normal (Industrial Type 3 - Net Metering),GV_3-NA,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",200,,30.0,0.0|1500.0|200.0|2000.0,0.0|69000.0|6000.0|2900000.0,5000.0,,,76410.26,3056410.26,,,,,3800.0,34.5,131100.0,,FIELD_VALIDATION
Units 0.0,GV_3-NA,SE5.6@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","1000,2000,200,0,100,200,300,0","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",200,,30.0,0.0|0.0|0.0|0.0,0.0|0.0|0.0|0.0,5000.0,,,128.21,5128.21,,,,,,,,,FIELD_VALIDATION
Without genTariffCategory,GV_3-NA,,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",400,"{
    ""detail"": {
        ""statusDescription"": ""Cannot calculate the electricity bill"",
        ""error"": ""Invalid value provided for Generation tariff code""
    }
}",,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous Import Reading with text,GV_3-NA,SE4.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"test,test,test,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Current Import Reading with text,GV_3-NA,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","test,test,test,2000,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous export Reading with text,GV_3-NA,SE5.6@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,test,test,300,0","2000,3500,400,2000,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Current export Reading with text,GV_3-NA,SE3.4@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,test,test","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous Import reading higher than current Reading,GV_3-NA,SE4.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",200,Invalid readings,30.0,0.0|1500.0|200.0|2000.0,0.0|69000.0|6000.0|2900000.0,5000.0,,,76410.26,3056410.26,,,,,3800.0,27.06,102828.0,,FIELD_VALIDATION
Previous Export reading higher than current Reading,GV_3-NA,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",200,Invalid readings,30.0,0.0|1500.0|200.0|2000.0,0.0|69000.0|6000.0|2900000.0,5000.0,,,76410.26,3056410.26,,,,,3800.0,34.5,131100.0,,FIELD_VALIDATION
Previous and current reading blank,GV_3-NA,SE5.6@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,""" "","" "","" "",0."" "","" "","" "","" """,""" "","" "","" "",2000,"" "","" "","" "","" ""","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",422,type_error.none.not_allowed,,,,,,,,,,,,,,,,,FIELD_VALIDATION
"Units more than 999,999",GV_3-NA,SE3.4@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1,1,1,0,10,10,10,0","1000001,1000001,1000001,2000,1000010,1000010,1000010,1000001","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",200,Should fail but not,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without Import register Value,GV_3-NA,SE4.1@1,,"9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"0,100,200,300,0","2000,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",500,Internal Server Error,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without Export register Value,GV_3-NA,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0",Active,"1000,2000,200,0","2000,3500,400,2000","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",400,Check meter reading data,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without all registers,GV_3-NA,SE5.6@1,,,Active,,,"2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",500,Internal Server Error,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without Max Demand Value,GV_3-NA,SE3.4@1,,"1.8.1_0,1.8.2_0,1.8.3_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",400,Check meter reading data,,,,,,,,,,,,,,,,,FIELD_VALIDATION
"Max Demand Maximum (999,999)",GV_3-NA,SE4.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,999999,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",200,,30.0,0.0|1500.0|200.0|999999.0,0.0|69000.0|6000.0|1449998550.0,5000.0,,,37181501.28,1487260051.28,,,,,3800.0,27.06,102828.0,,FIELD_VALIDATION
Max Demand over 1000000,GV_3-NA,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,1000000,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",200,,30.0,0.0|1500.0|200.0|1000000.0,0.0|69000.0|6000.0|1450000000.0,5000.0,,,37181538.46,1487261538.46,,,,,3800.0,34.5,131100.0,,FIELD_VALIDATION
Max Demand 0,GV_3-NA,SE5.6@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,0,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",200,,30.0,0.0|1500.0|200.0|0.0,0.0|69000.0|6000.0|0.0,5000.0,,,2051.28,82051.28,,,,,3800.0,14.46,54948.0,,FIELD_VALIDATION
Meter Status - Inactive,GV_3-NA,SE3.4@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Inactive,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",500,Internal Server Error,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without previous date,GV_3-NA,SE4.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800",,"2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without current date,GV_3-NA,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01",,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Current date future date,GV_3-NA,SE5.6@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-03-01,2026-03-01,2026-03-01,2026-03-01,2026-03-01,2026-03-01,2026-03-01,2026-03-01","2026-03-31,2026-03-31,2026-03-31,2026-03-31,2026-03-31,2026-03-31,2026-03-31,2026-03-31",200,,30.0,0.0|1500.0|200.0|2000.0,0.0|69000.0|6000.0|2900000.0,5000.0,,,76410.26,3056410.26,,,,,3800.0,14.46,54948.0,,FIELD_VALIDATION
Without both dates,GV_3-NA,SE3.4@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800",,,400,,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous date larger than current date,GV_3-NA,SE4.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-02-21,2026-02-21,2026-02-21,2026-02-21,2026-02-21,2026-02-21,2026-02-21,2026-02-21","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",400,Invalid dates,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Invalid date format,GV_3-NA,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-31-01,2026-31-01,2026-31-01,2026-31-01,2026-31-01,2026-31-01,2026-31-01,2026-31-01","2026-02-28,2026-02-28,2026-02-28,2026-02-28,2026-02-28,2026-02-28,2026-02-28,2026-02-28",400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
With Brought Forward,GV_3-NA,SE3.4@1,2000,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",200,,30.0,0.0|1500.0|200.0|2000.0,0.0|69000.0|6000.0|2900000.0,5000.0,,,76410.26,3056410.26,,,,,3800.0,37,140600.0,,FIELD_VALIDATION
