Test Area,tariffCategory,genTariffCategory,broughtForwards,registerValues,meterStatus,previousReadings,currentReadings,prevDates,currDates,Expected_StatusCode,error_message,Period,Total_Units,Consumption,Fixed_Charges,Brought_Forwards,carryForwards,Total_Tax,Total_Amount,slabName,slabUnits,slabRates,slabAmounts,GenerationUnits,GenerationRate,GenTotalPrice,expectedJson
Normal (Industrial Type 3 - Net Metering),GV_3-NA,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06","2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05",200,,30.0,0.0|1500.0|200.0|2000.0,0.0|69000.0|6000.0|2900000.0,5000.0,,,76410.26,3056410.26,,,,,3800.0,34.5,131100.0,
Normal (Industrial Type 3 - Net Metering),GP_3-NP,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06","2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05",200,,30.0,1000.0|1500.0|200.0|2000.0,39500.0|69000.0|6000.0|2900000.0,5000.0,,,77423.08,3096923.08,,,,,4800.0,34.5,165600.0,
Normal (Industrial Type 3 - Net Metering),IP_2-NA,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06","2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05",200,,30.0,0.0|1500.0|200.0|2000.0,0.0|42000.0|2400.0|2800000.0,5000.0,,,73061.54,2922461.54,,,,,3800.0,34.5,131100.0,
Normal (Industrial Type 3 - Net Metering),IP_2-NP,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06","2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05",200,,30.0,1000.0|1500.0|200.0|2000.0,15000.0|42000.0|2400.0|2800000.0,5000.0,,,73446.15,2937846.15,,,,,4800.0,34.5,165600.0,
Normal (Industrial Type 3 - Net Metering),GP_2-NA,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06","2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05",200,,30.0,0.0|1500.0|200.0|2000.0,0.0|70500.0|6200.0|3000000.0,5000.0,,,79017.95,3160717.95,,,,,3800.0,34.5,131100.0,
Normal (Industrial Type 3 - Net Metering),GP_2-NP,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06","2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05",200,,30.0,1000.0|1500.0|200.0|2000.0,41000.0|70500.0|6200.0|3000000.0,5000.0,,,80069.23,3202769.23,,,,,4800.0,34.5,165600.0,
Normal (Industrial Type 3 - Net Metering),H_2-NP,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06","2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05",200,,30.0,1000.0|1500.0|200.0|2000.0,15000.0|42000.0|2400.0|2800000.0,5000.0,,,73446.15,2937846.15,,,,,4800.0,34.5,165600.0,
Normal (Industrial Type 3 - Net Metering),GV_2-NA,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06","2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05",200,,30.0,0.0|1500.0|200.0|2000.0,0.0|70500.0|6200.0|3000000.0,5000.0,,,79017.95,3160717.95,,,,,3800.0,34.5,131100.0,
Normal (Industrial Type 3 - Net Metering),GV_2-NP,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06","2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05",200,,30.0,1000.0|1500.0|200.0|2000.0,41000.0|70500.0|6200.0|3000000.0,5000.0,,,80069.23,3202769.23,,,,,4800.0,34.5,165600.0,
Normal (Industrial Type 3 - Net Metering),IP_3-NA,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06","2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05",200,,30.0,0.0|1500.0|200.0|2000.0,0.0|40500.0|2200.0|2700000.0,5000.0,,,70453.85,2818153.85,,,,,3800.0,34.5,131100.0,
Normal (Industrial Type 3 - Net Metering),IP_3-NP,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06","2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05",200,,30.0,1000.0|1500.0|200.0|2000.0,14000.0|40500.0|2200.0|2700000.0,5000.0,,,70812.82,2832512.82,,,,,4800.0,34.5,165600.0,
Normal (Industrial Type 3 - Net Metering),GP_3-NA,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06","2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05",200,,30.0,0.0|1500.0|200.0|2000.0,0.0|69000.0|6000.0|2900000.0,5000.0,,,76410.26,3056410.26,,,,,3800.0,34.5,131100.0,
Normal (Industrial Type 3 - Net Metering),H_3-NA,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06","2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05",200,,30.0,0.0|1500.0|200.0|2000.0,0.0|40500.0|2200.0|2700000.0,5000.0,,,70453.85,2818153.85,,,,,3800.0,34.5,131100.0,
Normal (Industrial Type 3 - Net Metering),H_3-NP,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06","2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05",200,,30.0,1000.0|1500.0|200.0|2000.0,14000.0|40500.0|2200.0|2700000.0,5000.0,,,70812.82,2832512.82,,,,,4800.0,34.5,165600.0,
Normal (Industrial Type 3 - Net Metering),GV_3-NP,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06","2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05",200,,30.0,1000.0|1500.0|200.0|2000.0,39500.0|69000.0|6000.0|2900000.0,5000.0,,,77423.08,3096923.08,,,,,4800.0,34.5,165600.0,
